age,height_cm,weight_kg,activity_level,healthy
56,183,65.9,3,1
38,193,61.5,1,0
53,194,86.7,4,1
19,178,88.0,1,0
50,166,61.8,3,1
42,181,87.8,3,0
20,191,81.7,3,1
26,193,138.7,2,0
26,180,62.0,5,1
24,162,96.6,2,0
57,158,51.2,4,1
59,158,93.9,2,0
27,190,80.6,5,1
25,168,72.2,1,0
33,172,64.9,4,1
42,183,59.4,1,0
41,155,47.5,5,1
28,171,50.9,1,0
59,193,84.4,5,1
26,162,43.4,3,0
41,191,84.5,4,1
44,189,94.9,3,0
18,159,55.9,5,1
31,193,127.5,2,0
30,186,78.1,3,1
49,158,45.1,3,0
46,190,88.6,5,1
39,182,60.2,1,0
23,182,78.3,4,1
28,182,53.7,1,0
44,167,67.0,5,1
23,162,44.1,3,0
59,178,77.7,4,1
49,186,104.7,1,0
29,193,80.8,3,1
54,171,110.2,2,0
40,191,75.5,3,1
36,156,75.0,3,0
21,165,56.8,3,1
55,178,119.7,3,0
33,187,68.1,5,1
23,170,43.8,3,0
43,157,58.4,5,1
58,187,111.0,1,0
28,182,76.9,4,1
40,185,97.0,2,0
19,155,45.9,3,1
54,186,59.3,3,0
33,157,59.1,4,1
50,178,117.7,2,0
57,174,67.3,4,1
42,189,102.5,2,0
19,189,81.0,3,1
53,187,109.9,3,0
20,171,59.9,5,1
39,176,49.0,3,0
25,181,69.7,3,1
47,187,59.3,1,0
36,158,46.6,3,1
34,182,94.8,3,0
58,191,89.2,3,1
48,189,65.5,1,0
49,177,63.3,5,1
35,179,52.4,2,0
41,186,78.9,5,1
19,181,95.6,1,0
26,193,75.9,5,1
43,189,117.7,2,0
24,190,85.2,3,1
25,170,43.8,2,0
19,186,76.8,4,1
42,176,78.7,2,0
23,169,59.4,3,1
50,162,46.2,3,0
21,160,48.2,4,1
52,194,141.8,2,0
47,173,70.6,5,1
36,182,93.6,1,0
40,163,60.9,3,1
18,188,55.9,1,0
18,170,63.0,5,1
22,176,79.4,3,0
54,176,57.6,4,1
45,159,73.4,1,0
29,170,55.3,3,1
56,190,56.3,2,0
27,159,61.1,5,1
27,173,50.0,1,0
21,170,54.8,5,1
19,182,123.3,2,0
52,187,74.9,5,1
54,166,103.3,3,0
46,167,55.4,4,1
19,189,57.7,2,0
27,180,67.0,5,1
58,161,39.9,3,0
46,190,76.4,3,1
53,164,44.2,1,0
52,190,75.4,5,1
49,178,102.4,1,0
30,177,73.1,3,1
47,171,49.2,2,0
30,173,62.8,3,1
58,173,87.2,3,0
36,170,61.8,5,1
29,179,54.1,3,0
33,193,71.1,4,1
56,168,47.6,1,0
28,172,73.1,3,1
27,171,44.9,2,0
26,181,75.4,3,1
46,191,57.6,1,0
39,171,71.8,3,1
21,190,58.8,2,0
56,181,65.8,5,1
56,157,74.6,2,0
37,182,77.5,5,1
58,193,121.4,1,0
42,187,69.7,4,1
49,175,113.4,1,0
53,189,82.0,3,1
35,168,107.1,2,0
20,170,67.1,5,1
29,164,98.4,1,0
25,182,75.0,4,1
45,182,53.7,2,0
34,163,54.4,3,1
45,183,87.0,2,0
22,179,67.9,4,1
22,187,61.7,1,0
28,175,71.3,3,1
39,181,55.5,3,0
18,175,57.8,4,1
45,171,49.2,1,0
40,191,84.4,4,1
27,173,92.4,1,0
30,158,49.8,3,1
57,186,52.4,2,0
51,157,53.8,3,1
22,184,102.4,3,0
40,169,67.2,4,1
19,165,72.9,2,0
55,188,79.8,5,1
44,188,112.0,3,0
47,171,71.9,4,1
34,164,47.4,2,0
23,156,50.1,5,1
28,177,84.5,1,0
20,186,74.5,3,1
49,173,88.2,1,0
39,175,67.4,3,1
58,166,81.9,2,0
44,163,50.7,5,1
39,184,52.6,2,0
53,155,45.7,5,1
32,176,108.0,2,0
43,168,54.9,5,1
24,157,44.5,1,0
35,192,80.8,5,1
42,191,57.0,3,0
39,180,71.0,3,1
34,167,47.5,1,0
35,190,79.2,4,1
25,194,62.0,1,0
23,180,72.5,5,1
23,191,66.3,2,0
23,158,59.8,4,1
47,185,52.0,3,0
48,194,86.4,5,1
23,156,41.3,2,0
47,192,84.0,3,1
19,169,48.0,1,0
23,180,66.7,5,1
37,187,61.2,2,0
31,192,81.9,5,1
53,167,71.6,2,0
22,177,69.0,4,1
30,194,66.8,1,0
34,163,59.3,4,1
52,184,122.1,2,0
31,165,66.7,5,1
52,155,78.0,1,0
25,165,64.2,4,1
47,189,55.6,2,0
43,158,51.2,4,1
42,172,90.8,3,0
55,187,81.4,5,1
50,179,96.4,2,0
57,194,84.7,5,1
23,160,88.3,3,0
46,187,76.6,5,1
44,190,66.4,1,0
44,187,65.4,4,1
19,164,93.6,2,0
30,185,71.6,3,1
41,169,50.6,1,0
19,181,74.1,5,1
53,190,118.4,3,0
27,194,83.7,5,1
43,166,73.9,1,0
50,194,90.6,3,1
